Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260820003627/run.log
2026-08-20 00:36: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260820003627
2026-08-20 00:43: Train Epoch 2: 1340/1641 Loss: 0.429521
2026-08-20 00:43: Train Epoch 2: 1360/1641 Loss: 0.439654
2026-08-20 00:43: Train Epoch 2: 1380/1641 Loss: 0.430943
2026-08-20 00:43: Train Epoch 2: 1400/1641 Loss: 0.450461
2026-08-20 00:43: Train Epoch 2: 1420/1641 Loss: 0.435394
2026-08-20 00:43: Train Epoch 2: 1440/1641 Loss: 0.435941
2026-08-20 00:43: Train Epoch 2: 1460/1641 Loss: 0.434522
2026-08-20 00:43: Train Epoch 2: 1480/1641 Loss: 0.443701
2026-08-20 00:43: Train Epoch 2: 1500/1641 Loss: 0.463347
2026-08-20 00:44: Train Epoch 2: 1520/1641 Loss: 0.430475
2026-08-20 00:44: Train Epoch 2: 1540/1641 Loss: 0.452592
2026-08-20 00:44: Train Epoch 2: 1560/1641 Loss: 0.469034
2026-08-20 00:44: Train Epoch 2: 1580/1641 Loss: 0.437744
2026-08-20 00:44: Train Epoch 2: 1600/1641 Loss: 0.445063
2026-08-20 00:44: Train Epoch 2: 1620/1641 Loss: 0.420431
2026-08-20 00:44: Train Epoch 2: 1640/1641 Loss: 0.432650
2026-08-20 00:44: **********Train Epoch 2: averaged Loss: 0.444076, tf_ratio: 0.997428
2026-08-20 00:44: **********Val Epoch 2: average Loss: 0.416801
2026-08-20 00:44: *********************************Current best model saved!
2026-08-20 00:44: Train Epoch 3: 0/1641 Loss: 0.394309
2026-08-20 00:44: Train Epoch 3: 20/1641 Loss: 0.452875
2026-08-20 00:44: Train Epoch 3: 40/1641 Loss: 0.450531
2026-08-20 00:44: Train Epoch 3: 60/1641 Loss: 0.422699
2026-08-20 00:44: Train Epoch 3: 80/1641 Loss: 0.468873
2026-08-20 00:44: Train Epoch 3: 100/1641 Loss: 0.469586
2026-08-20 00:44: Train Epoch 3: 120/1641 Loss: 0.471358
2026-08-20 00:44: Train Epoch 3: 140/1641 Loss: 0.408921
2026-08-20 00:45: Train Epoch 3: 160/1641 Loss: 0.452074
2026-08-20 00:45: Train Epoch 3: 180/1641 Loss: 0.424361
