Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819222740/run.log
2026-08-19 22:27: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819222740
2026-08-19 22:44: Train Epoch 5: 120/1641 Loss: 0.439416
2026-08-19 22:44: Train Epoch 5: 140/1641 Loss: 0.444413
2026-08-19 22:44: Train Epoch 5: 160/1641 Loss: 0.410069
2026-08-19 22:44: Train Epoch 5: 180/1641 Loss: 0.416502
2026-08-19 22:44: Train Epoch 5: 200/1641 Loss: 0.418062
2026-08-19 22:44: Train Epoch 5: 220/1641 Loss: 0.422049
2026-08-19 22:44: Train Epoch 5: 240/1641 Loss: 0.376745
2026-08-19 22:44: Train Epoch 5: 260/1641 Loss: 0.408283
2026-08-19 22:44: Train Epoch 5: 280/1641 Loss: 0.450703
2026-08-19 22:44: Train Epoch 5: 300/1641 Loss: 0.416135
2026-08-19 22:44: Train Epoch 5: 320/1641 Loss: 0.443265
2026-08-19 22:44: Train Epoch 5: 340/1641 Loss: 0.432151
2026-08-19 22:44: Train Epoch 5: 360/1641 Loss: 0.436660
2026-08-19 22:44: Train Epoch 5: 380/1641 Loss: 0.411395
2026-08-19 22:44: Train Epoch 5: 400/1641 Loss: 0.404403
2026-08-19 22:44: Train Epoch 5: 420/1641 Loss: 0.408548
2026-08-19 22:44: Train Epoch 5: 440/1641 Loss: 0.413137
2026-08-19 22:44: Train Epoch 5: 460/1641 Loss: 0.410433
2026-08-19 22:44: Train Epoch 5: 480/1641 Loss: 0.435249
2026-08-19 22:45: Train Epoch 5: 500/1641 Loss: 0.426398
2026-08-19 22:45: Train Epoch 5: 520/1641 Loss: 0.447208
