Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260815222411/run.log
2026-08-15 22:24: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260815222411
2026-08-15 22:27: **********Val Epoch 3: average Loss: 2.080661
2026-08-15 22:27: *********************************Current best model saved!
2026-08-15 22:27: Train Epoch 4: 0/958 Loss: 2.073749
2026-08-15 22:27: Train Epoch 4: 20/958 Loss: 2.082861
2026-08-15 22:27: Train Epoch 4: 40/958 Loss: 2.037591
2026-08-15 22:27: Train Epoch 4: 60/958 Loss: 1.974428
2026-08-15 22:27: Train Epoch 4: 80/958 Loss: 2.061378
2026-08-15 22:27: Train Epoch 4: 100/958 Loss: 2.024979
2026-08-15 22:27: Train Epoch 4: 120/958 Loss: 1.946433
2026-08-15 22:27: Train Epoch 4: 140/958 Loss: 2.077986
2026-08-15 22:28: Train Epoch 4: 160/958 Loss: 2.146253
2026-08-15 22:28: Train Epoch 4: 180/958 Loss: 1.945733
2026-08-15 22:28: Train Epoch 4: 200/958 Loss: 2.011409
2026-08-15 22:28: Train Epoch 4: 220/958 Loss: 1.987637
2026-08-15 22:28: Train Epoch 4: 240/958 Loss: 2.073045
2026-08-15 22:28: Train Epoch 4: 260/958 Loss: 1.996885
2026-08-15 22:28: Train Epoch 4: 280/958 Loss: 1.812480
2026-08-15 22:28: Train Epoch 4: 300/958 Loss: 1.992517
2026-08-15 22:28: Train Epoch 4: 320/958 Loss: 2.073360
2026-08-15 22:28: Train Epoch 4: 340/958 Loss: 1.857292
2026-08-15 22:28: Train Epoch 4: 360/958 Loss: 2.019173
2026-08-15 22:28: Train Epoch 4: 380/958 Loss: 2.049524
2026-08-15 22:28: Train Epoch 4: 400/958 Loss: 1.991528
2026-08-15 22:28: Train Epoch 4: 420/958 Loss: 2.089362
2026-08-15 22:28: Train Epoch 4: 440/958 Loss: 1.911768
2026-08-15 22:28: Train Epoch 4: 460/958 Loss: 2.009464
