2026-08-17 05:38: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260817053820
2026-08-17 05:45: Train Epoch 7: 280/821 Loss: 0.259302
2026-08-17 05:45: Train Epoch 7: 300/821 Loss: 0.259024
2026-08-17 05:45: Train Epoch 7: 320/821 Loss: 0.274548
2026-08-17 05:45: Train Epoch 7: 340/821 Loss: 0.263238
2026-08-17 05:45: Train Epoch 7: 360/821 Loss: 0.270780
2026-08-17 05:45: Train Epoch 7: 380/821 Loss: 0.281739
2026-08-17 05:45: Train Epoch 7: 400/821 Loss: 0.265478
2026-08-17 05:45: Train Epoch 7: 420/821 Loss: 0.261351
2026-08-17 05:45: Train Epoch 7: 440/821 Loss: 0.260794
2026-08-17 05:45: Train Epoch 7: 460/821 Loss: 0.276177
2026-08-17 05:45: Train Epoch 7: 480/821 Loss: 0.263400
2026-08-17 05:45: Train Epoch 7: 500/821 Loss: 0.269800
2026-08-17 05:45: Train Epoch 7: 520/821 Loss: 0.265500
2026-08-17 05:45: Train Epoch 7: 540/821 Loss: 0.255538
2026-08-17 05:45: Train Epoch 7: 560/821 Loss: 0.264541
2026-08-17 05:45: Train Epoch 7: 580/821 Loss: 0.261122
2026-08-17 05:45: Train Epoch 7: 600/821 Loss: 0.244203
2026-08-17 05:45: Train Epoch 7: 620/821 Loss: 0.248834
2026-08-17 05:45: Train Epoch 7: 640/821 Loss: 0.255514
2026-08-17 05:45: Train Epoch 7: 660/821 Loss: 0.272778
2026-08-17 05:45: Train Epoch 7: 680/821 Loss: 0.270230
2026-08-17 05:45: Train Epoch 7: 700/821 Loss: 0.262384
2026-08-17 05:45: Train Epoch 7: 720/821 Loss: 0.266563
2026-08-17 05:45: Train Epoch 7: 740/821 Loss: 0.262113
2026-08-17 05:45: Train Epoch 7: 760/821 Loss: 0.256998
2026-08-17 05:45: Train Epoch 7: 780/821 Loss: 0.261316
2026-08-17 05:45: Train Epoch 7: 800/821 Loss: 0.272528
2026-08-17 05:45: Train Epoch 7: 820/821 Loss: 0.252306
2026-08-17 05:45: **********Train Epoch 7: averaged Loss: 0.265193, tf_ratio: 1.000000
2026-08-17 05:45: **********Val Epoch 7: average Loss: 0.269493
2026-08-17 05:45: *********************************Current best model saved!
2026-08-17 05:45: Train Epoch 8: 0/821 Loss: 0.264420
2026-08-17 05:45: Train Epoch 8: 20/821 Loss: 0.254839
2026-08-17 05:46: Train Epoch 8: 40/821 Loss: 0.259817
2026-08-17 05:46: Train Epoch 8: 60/821 Loss: 0.248928
2026-08-17 05:46: Train Epoch 8: 80/821 Loss: 0.257305
2026-08-17 05:46: Train Epoch 8: 100/821 Loss: 0.268068
2026-08-17 05:46: Train Epoch 8: 120/821 Loss: 0.262848
2026-08-17 05:46: Train Epoch 8: 140/821 Loss: 0.258198
2026-08-17 05:46: Train Epoch 8: 160/821 Loss: 0.281282
2026-08-17 05:46: Train Epoch 8: 180/821 Loss: 0.265840
2026-08-17 05:46: Train Epoch 8: 200/821 Loss: 0.252894
2026-08-17 05:46: Train Epoch 8: 220/821 Loss: 0.249091
2026-08-17 05:46: Train Epoch 8: 240/821 Loss: 0.265729
2026-08-17 05:46: Train Epoch 8: 260/821 Loss: 0.249770
2026-08-17 05:46: Train Epoch 8: 280/821 Loss: 0.264863
2026-08-17 05:46: Train Epoch 8: 300/821 Loss: 0.266353
