id,latitude,longitude
546,-29.0,29.0
547,-29.0,29.5
548,-29.0,30.0
549,-29.0,30.5
550,-29.0,31.0
551,-29.0,31.5
552,-29.0,32.0
553,-29.0,32.5
554,-29.0,33.0
555,-29.5,15.0
556,-29.5,15.5
557,-29.5,16.0
558,-29.5,16.5
559,-29.5,17.0
560,-29.5,17.5
561,-29.5,18.0
562,-29.5,18.5
563,-29.5,19.0
564,-29.5,19.5
565,-29.5,20.0
566,-29.5,20.5
567,-29.5,21.0
568,-29.5,21.5
569,-29.5,22.0
570,-29.5,22.5
571,-29.5,23.0
572,-29.5,23.5
573,-29.5,24.0
574,-29.5,24.5
575,-29.5,25.0
576,-29.5,25.5
577,-29.5,26.0
578,-29.5,26.5
579,-29.5,27.0
580,-29.5,27.5
581,-29.5,28.0
582,-29.5,28.5
583,-29.5,29.0
584,-29.5,29.5
585,-29.5,30.0
586,-29.5,30.5
587,-29.5,31.0
588,-29.5,31.5
589,-29.5,32.0
590,-29.5,32.5
591,-29.5,33.0
592,-30.0,15.0
593,-30.0,15.5
594,-30.0,16.0
595,-30.0,16.5
596,-30.0,17.0
597,-30.0,17.5
598,-30.0,18.0
599,-30.0,18.5
600,-30.0,19.0
601,-30.0,19.5
602,-30.0,20.0
603,-30.0,20.5
604,-30.0,21.0
605,-30.0,21.5
606,-30.0,22.0
607,-30.0,22.5
608,-30.0,23.0
609,-30.0,23.5
610,-30.0,24.0
611,-30.0,24.5
612,-30.0,25.0
613,-30.0,25.5
614,-30.0,26.0
615,-30.0,26.5
616,-30.0,27.0
617,-30.0,27.5
618,-30.0,28.0
619,-30.0,28.5
620,-30.0,29.0
621,-30.0,29.5
622,-30.0,30.0
623,-30.0,30.5
624,-30.0,31.0
625,-30.0,31.5
626,-30.0,32.0
627,-30.0,32.5
628,-30.0,33.0
629,-30.5,15.0
630,-30.5,15.5
631,-30.5,16.0
632,-30.5,16.5
633,-30.5,17.0
634,-30.5,17.5
635,-30.5,18.0
636,-30.5,18.5
637,-30.5,19.0
638,-30.5,19.5
639,-30.5,20.0
640,-30.5,20.5
641,-30.5,21.0
642,-30.5,21.5
643,-30.5,22.0
644,-30.5,22.5
645,-30.5,23.0
646,-30.5,23.5
647,-30.5,24.0
648,-30.5,24.5
649,-30.5,25.0
650,-30.5,25.5
651,-30.5,26.0
652,-30.5,26.5
653,-30.5,27.0
654,-30.5,27.5
655,-30.5,28.0
656,-30.5,28.5
657,-30.5,29.0
658,-30.5,29.5
659,-30.5,30.0
660,-30.5,30.5
661,-30.5,31.0
662,-30.5,31.5
663,-30.5,32.0
664,-30.5,32.5
665,-30.5,33.0
666,-31.0,15.0
667,-31.0,15.5
668,-31.0,16.0
669,-31.0,16.5
670,-31.0,17.0
671,-31.0,17.5
672,-31.0,18.0
673,-31.0,18.5
674,-31.0,19.0
675,-31.0,19.5
676,-31.0,20.0
677,-31.0,20.5
678,-31.0,21.0
679,-31.0,21.5
680,-31.0,22.0
681,-31.0,22.5
682,-31.0,23.0
683,-31.0,23.5
684,-31.0,24.0
685,-31.0,24.5
686,-31.0,25.0
687,-31.0,25.5
688,-31.0,26.0
689,-31.0,26.5
690,-31.0,27.0
691,-31.0,27.5
692,-31.0,28.0
693,-31.0,28.5
694,-31.0,29.0
695,-31.0,29.5
696,-31.0,30.0
697,-31.0,30.5
698,-31.0,31.0
699,-31.0,31.5
700,-31.0,32.0
701,-31.0,32.5
702,-31.0,33.0
703,-31.5,15.0
704,-31.5,15.5
705,-31.5,16.0
706,-31.5,16.5
707,-31.5,17.0
708,-31.5,17.5
709,-31.5,18.0
710,-31.5,18.5
711,-31.5,19.0
712,-31.5,19.5
713,-31.5,20.0
714,-31.5,20.5
715,-31.5,21.0
716,-31.5,21.5
717,-31.5,22.0
718,-31.5,22.5
719,-31.5,23.0
720,-31.5,23.5
721,-31.5,24.0
722,-31.5,24.5
723,-31.5,25.0
724,-31.5,25.5
725,-31.5,26.0
726,-31.5,26.5
727,-31.5,27.0
728,-31.5,27.5
729,-31.5,28.0
730,-31.5,28.5
731,-31.5,29.0
732,-31.5,29.5
733,-31.5,30.0
734,-31.5,30.5
735,-31.5,31.0
736,-31.5,31.5
737,-31.5,32.0
738,-31.5,32.5
739,-31.5,33.0
740,-32.0,15.0
741,-32.0,15.5
742,-32.0,16.0
743,-32.0,16.5
744,-32.0,17.0
745,-32.0,17.5
746,-32.0,18.0
747,-32.0,18.5
748,-32.0,19.0
749,-32.0,19.5
750,-32.0,20.0
751,-32.0,20.5
752,-32.0,21.0
753,-32.0,21.5
754,-32.0,22.0
755,-32.0,22.5
756,-32.0,23.0
757,-32.0,23.5
758,-32.0,24.0
759,-32.0,24.5
760,-32.0,25.0
761,-32.0,25.5
762,-32.0,26.0
763,-32.0,26.5
764,-32.0,27.0
765,-32.0,27.5
766,-32.0,28.0
767,-32.0,28.5
768,-32.0,29.0
769,-32.0,29.5
770,-32.0,30.0
771,-32.0,30.5
