Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260814030658/run.log
2026-08-14 03:07: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260814030658
2026-08-14 03:12: Train Epoch 6: 20/821 Loss: 2.062138
2026-08-14 03:12: Train Epoch 6: 40/821 Loss: 1.969588
2026-08-14 03:12: Train Epoch 6: 60/821 Loss: 1.966470
2026-08-14 03:12: Train Epoch 6: 80/821 Loss: 1.878405
2026-08-14 03:12: Train Epoch 6: 100/821 Loss: 1.992650
2026-08-14 03:12: Train Epoch 6: 120/821 Loss: 1.950788
2026-08-14 03:12: Train Epoch 6: 140/821 Loss: 1.966647
2026-08-14 03:12: Train Epoch 6: 160/821 Loss: 2.031507
2026-08-14 03:12: Train Epoch 6: 180/821 Loss: 2.061195
2026-08-14 03:12: Train Epoch 6: 200/821 Loss: 1.927568
2026-08-14 03:12: Train Epoch 6: 220/821 Loss: 1.983612
2026-08-14 03:12: Train Epoch 6: 240/821 Loss: 2.013756
2026-08-14 03:12: Train Epoch 6: 260/821 Loss: 1.982429
2026-08-14 03:12: Train Epoch 6: 280/821 Loss: 2.032564
2026-08-14 03:12: Train Epoch 6: 300/821 Loss: 2.051466
2026-08-14 03:12: Train Epoch 6: 320/821 Loss: 1.901626
2026-08-14 03:12: Train Epoch 6: 340/821 Loss: 1.968756
2026-08-14 03:12: Train Epoch 6: 360/821 Loss: 1.990546
2026-08-14 03:12: Train Epoch 6: 380/821 Loss: 1.961079
2026-08-14 03:12: Train Epoch 6: 400/821 Loss: 2.037392
2026-08-14 03:12: Train Epoch 6: 420/821 Loss: 1.961407
2026-08-14 03:12: Train Epoch 6: 440/821 Loss: 1.966194
2026-08-14 03:12: Train Epoch 6: 460/821 Loss: 2.019939
2026-08-14 03:12: Train Epoch 6: 480/821 Loss: 2.045585
2026-08-14 03:12: Train Epoch 6: 500/821 Loss: 2.099854
2026-08-14 03:13: Train Epoch 6: 520/821 Loss: 1.987530
2026-08-14 03:13: Train Epoch 6: 540/821 Loss: 1.954211
2026-08-14 03:13: Train Epoch 6: 560/821 Loss: 1.940757
2026-08-14 03:13: Train Epoch 6: 580/821 Loss: 2.129601
2026-08-14 03:13: Train Epoch 6: 600/821 Loss: 1.986598
2026-08-14 03:13: Train Epoch 6: 620/821 Loss: 1.899885
2026-08-14 03:13: Train Epoch 6: 640/821 Loss: 2.131041
2026-08-14 03:13: Train Epoch 6: 660/821 Loss: 2.025353
2026-08-14 03:13: Train Epoch 6: 680/821 Loss: 1.977682
