Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823082527/run.log
2026-08-23 08:25: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823082527
2026-08-23 08:40: Train Epoch 4: 1060/1641 Loss: 0.115785
2026-08-23 08:40: Train Epoch 4: 1080/1641 Loss: 0.103531
2026-08-23 08:40: Train Epoch 4: 1100/1641 Loss: 0.134602
2026-08-23 08:40: Train Epoch 4: 1120/1641 Loss: 0.126438
2026-08-23 08:40: Train Epoch 4: 1140/1641 Loss: 0.153451
2026-08-23 08:40: Train Epoch 4: 1160/1641 Loss: 0.117320
2026-08-23 08:40: Train Epoch 4: 1180/1641 Loss: 0.114534
2026-08-23 08:40: Train Epoch 4: 1200/1641 Loss: 0.182307
2026-08-23 08:40: Train Epoch 4: 1220/1641 Loss: 0.096254
2026-08-23 08:40: Train Epoch 4: 1240/1641 Loss: 0.132739
2026-08-23 08:40: Train Epoch 4: 1260/1641 Loss: 0.103759
2026-08-23 08:40: Train Epoch 4: 1280/1641 Loss: 0.080768
2026-08-23 08:40: Train Epoch 4: 1300/1641 Loss: 0.080658
2026-08-23 08:40: Train Epoch 4: 1320/1641 Loss: 0.094617
2026-08-23 08:40: Train Epoch 4: 1340/1641 Loss: 0.059283
2026-08-23 08:40: Train Epoch 4: 1360/1641 Loss: 0.107637
2026-08-23 08:40: Train Epoch 4: 1380/1641 Loss: 0.106188
2026-08-23 08:40: Train Epoch 4: 1400/1641 Loss: 0.077765
2026-08-23 08:40: Train Epoch 4: 1420/1641 Loss: 0.177342
2026-08-23 08:40: Train Epoch 4: 1440/1641 Loss: 0.129197
2026-08-23 08:41: Train Epoch 4: 1460/1641 Loss: 0.102952
2026-08-23 08:41: Train Epoch 4: 1480/1641 Loss: 0.109643
2026-08-23 08:41: Train Epoch 4: 1500/1641 Loss: 0.128689
2026-08-23 08:41: Train Epoch 4: 1520/1641 Loss: 0.077099
2026-08-23 08:41: Train Epoch 4: 1540/1641 Loss: 0.069240
2026-08-23 08:41: Train Epoch 4: 1560/1641 Loss: 0.132748
2026-08-23 08:41: Train Epoch 4: 1580/1641 Loss: 0.097424
2026-08-23 08:41: Train Epoch 4: 1600/1641 Loss: 0.094026
2026-08-23 08:41: Train Epoch 4: 1620/1641 Loss: 0.112236
2026-08-23 08:41: Train Epoch 4: 1640/1641 Loss: 0.127030
2026-08-23 08:41: **********Train Epoch 4: averaged Loss: 0.101688, tf_ratio: 1.000000
2026-08-23 08:41: **********Val Epoch 4: average Loss: 0.137159
2026-08-23 08:41: *********************************Current best model saved!
2026-08-23 08:41: Train Epoch 5: 0/1641 Loss: 0.085095
2026-08-23 08:41: Train Epoch 5: 20/1641 Loss: 0.074085
2026-08-23 08:41: Train Epoch 5: 40/1641 Loss: 0.110070
2026-08-23 08:41: Train Epoch 5: 60/1641 Loss: 0.102132
2026-08-23 08:41: Train Epoch 5: 80/1641 Loss: 0.092572
2026-08-23 08:42: Train Epoch 5: 100/1641 Loss: 0.089327
2026-08-23 08:42: Train Epoch 5: 120/1641 Loss: 0.089096
2026-08-23 08:42: Train Epoch 5: 140/1641 Loss: 0.122395
2026-08-23 08:42: Train Epoch 5: 160/1641 Loss: 0.086764
2026-08-23 08:42: Train Epoch 5: 180/1641 Loss: 0.074550
2026-08-23 08:42: Train Epoch 5: 200/1641 Loss: 0.084739
2026-08-23 08:42: Train Epoch 5: 220/1641 Loss: 0.131476
2026-08-23 08:42: Train Epoch 5: 240/1641 Loss: 0.076428
2026-08-23 08:42: Train Epoch 5: 260/1641 Loss: 0.070513
2026-08-23 08:42: Train Epoch 5: 280/1641 Loss: 0.078467
2026-08-23 08:42: Train Epoch 5: 300/1641 Loss: 0.067948
2026-08-23 08:42: Train Epoch 5: 320/1641 Loss: 0.114504
2026-08-23 08:42: Train Epoch 5: 340/1641 Loss: 0.135582
2026-08-23 08:42: Train Epoch 5: 360/1641 Loss: 0.115852
