Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260821230405/run.log
2026-08-21 23:04: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260821230405
2026-08-21 23:11: Train Epoch 2: 1400/1641 Loss: 0.515474
2026-08-21 23:11: Train Epoch 2: 1420/1641 Loss: 0.517367
2026-08-21 23:11: Train Epoch 2: 1440/1641 Loss: 0.508105
2026-08-21 23:11: Train Epoch 2: 1460/1641 Loss: 0.530621
2026-08-21 23:11: Train Epoch 2: 1480/1641 Loss: 0.536475
2026-08-21 23:11: Train Epoch 2: 1500/1641 Loss: 0.567599
2026-08-21 23:11: Train Epoch 2: 1520/1641 Loss: 0.509400
2026-08-21 23:11: Train Epoch 2: 1540/1641 Loss: 0.506317
2026-08-21 23:12: Train Epoch 2: 1560/1641 Loss: 0.564137
2026-08-21 23:12: Train Epoch 2: 1580/1641 Loss: 0.525386
2026-08-21 23:12: Train Epoch 2: 1600/1641 Loss: 0.539740
2026-08-21 23:12: Train Epoch 2: 1620/1641 Loss: 0.497823
2026-08-21 23:12: Train Epoch 2: 1640/1641 Loss: 0.522575
2026-08-21 23:12: **********Train Epoch 2: averaged Loss: 0.537935, tf_ratio: 1.000000
2026-08-21 23:12: **********Val Epoch 2: average Loss: 0.519018
2026-08-21 23:12: *********************************Current best model saved!
2026-08-21 23:12: Train Epoch 3: 0/1641 Loss: 0.506231
2026-08-21 23:12: Train Epoch 3: 20/1641 Loss: 0.547963
2026-08-21 23:12: Train Epoch 3: 40/1641 Loss: 0.551066
2026-08-21 23:12: Train Epoch 3: 60/1641 Loss: 0.545742
2026-08-21 23:12: Train Epoch 3: 80/1641 Loss: 0.556125
2026-08-21 23:12: Train Epoch 3: 100/1641 Loss: 0.585021
2026-08-21 23:12: Train Epoch 3: 120/1641 Loss: 0.548166
2026-08-21 23:12: Train Epoch 3: 140/1641 Loss: 0.495840
2026-08-21 23:12: Train Epoch 3: 160/1641 Loss: 0.534309
2026-08-21 23:12: Train Epoch 3: 180/1641 Loss: 0.501089
2026-08-21 23:13: Train Epoch 3: 200/1641 Loss: 0.525171
2026-08-21 23:13: Train Epoch 3: 220/1641 Loss: 0.520239
2026-08-21 23:13: Train Epoch 3: 240/1641 Loss: 0.514307
2026-08-21 23:13: Train Epoch 3: 260/1641 Loss: 0.505446
2026-08-21 23:13: Train Epoch 3: 280/1641 Loss: 0.557791
2026-08-21 23:13: Train Epoch 3: 300/1641 Loss: 0.506892
2026-08-21 23:13: Train Epoch 3: 320/1641 Loss: 0.537657
2026-08-21 23:13: Train Epoch 3: 340/1641 Loss: 0.504862
2026-08-21 23:13: Train Epoch 3: 360/1641 Loss: 0.564644
2026-08-21 23:13: Train Epoch 3: 380/1641 Loss: 0.529366
2026-08-21 23:13: Train Epoch 3: 400/1641 Loss: 0.525987
2026-08-21 23:13: Train Epoch 3: 420/1641 Loss: 0.543733
2026-08-21 23:13: Train Epoch 3: 440/1641 Loss: 0.510033
2026-08-21 23:13: Train Epoch 3: 460/1641 Loss: 0.506143
2026-08-21 23:13: Train Epoch 3: 480/1641 Loss: 0.490837
2026-08-21 23:13: Train Epoch 3: 500/1641 Loss: 0.523122
2026-08-21 23:13: Train Epoch 3: 520/1641 Loss: 0.569372
2026-08-21 23:13: Train Epoch 3: 540/1641 Loss: 0.551603
2026-08-21 23:13: Train Epoch 3: 560/1641 Loss: 0.552466
2026-08-21 23:13: Train Epoch 3: 580/1641 Loss: 0.551157
2026-08-21 23:13: Train Epoch 3: 600/1641 Loss: 0.502576
2026-08-21 23:14: Train Epoch 3: 620/1641 Loss: 0.533990
2026-08-21 23:14: Train Epoch 3: 640/1641 Loss: 0.516295
2026-08-21 23:14: Train Epoch 3: 660/1641 Loss: 0.517865
2026-08-21 23:14: Train Epoch 3: 680/1641 Loss: 0.554275
2026-08-21 23:14: Train Epoch 3: 700/1641 Loss: 0.495377
2026-08-21 23:14: Train Epoch 3: 720/1641 Loss: 0.546720
2026-08-21 23:14: Train Epoch 3: 740/1641 Loss: 0.529255
2026-08-21 23:14: Train Epoch 3: 760/1641 Loss: 0.537315
2026-08-21 23:14: Train Epoch 3: 780/1641 Loss: 0.517134
2026-08-21 23:14: Train Epoch 3: 800/1641 Loss: 0.525174
2026-08-21 23:14: Train Epoch 3: 820/1641 Loss: 0.518435
2026-08-21 23:14: Train Epoch 3: 840/1641 Loss: 0.518430
2026-08-21 23:14: Train Epoch 3: 860/1641 Loss: 0.525496
2026-08-21 23:14: Train Epoch 3: 880/1641 Loss: 0.494941
2026-08-21 23:14: Train Epoch 3: 900/1641 Loss: 0.520485
2026-08-21 23:14: Train Epoch 3: 920/1641 Loss: 0.525389
2026-08-21 23:14: Train Epoch 3: 940/1641 Loss: 0.494970
2026-08-21 23:14: Train Epoch 3: 960/1641 Loss: 0.525247
2026-08-21 23:14: Train Epoch 3: 980/1641 Loss: 0.547754
2026-08-21 23:14: Train Epoch 3: 1000/1641 Loss: 0.523738
2026-08-21 23:14: Train Epoch 3: 1020/1641 Loss: 0.561076
2026-08-21 23:15: Train Epoch 3: 1040/1641 Loss: 0.513225
2026-08-21 23:15: Train Epoch 3: 1060/1641 Loss: 0.519352
2026-08-21 23:15: Train Epoch 3: 1080/1641 Loss: 0.526987
2026-08-21 23:15: Train Epoch 3: 1100/1641 Loss: 0.505926
2026-08-21 23:15: Train Epoch 3: 1120/1641 Loss: 0.504349
2026-08-21 23:15: Train Epoch 3: 1140/1641 Loss: 0.526686
2026-08-21 23:15: Train Epoch 3: 1160/1641 Loss: 0.526147
2026-08-21 23:15: Train Epoch 3: 1180/1641 Loss: 0.526206
2026-08-21 23:15: Train Epoch 3: 1200/1641 Loss: 0.518108
2026-08-21 23:15: Train Epoch 3: 1220/1641 Loss: 0.486571
2026-08-21 23:15: Train Epoch 3: 1240/1641 Loss: 0.513326
2026-08-21 23:15: Train Epoch 3: 1260/1641 Loss: 0.536664
2026-08-21 23:15: Train Epoch 3: 1280/1641 Loss: 0.536744
2026-08-21 23:15: Train Epoch 3: 1300/1641 Loss: 0.531667
2026-08-21 23:15: Train Epoch 3: 1320/1641 Loss: 0.538061
2026-08-21 23:15: Train Epoch 3: 1340/1641 Loss: 0.534801
2026-08-21 23:15: Train Epoch 3: 1360/1641 Loss: 0.544252
2026-08-21 23:15: Train Epoch 3: 1380/1641 Loss: 0.512784
2026-08-21 23:15: Train Epoch 3: 1400/1641 Loss: 0.566470
2026-08-21 23:15: Train Epoch 3: 1420/1641 Loss: 0.562678
2026-08-21 23:15: Train Epoch 3: 1440/1641 Loss: 0.522702
2026-08-21 23:15: Train Epoch 3: 1460/1641 Loss: 0.504241
2026-08-21 23:16: Train Epoch 3: 1480/1641 Loss: 0.509100
2026-08-21 23:16: Train Epoch 3: 1500/1641 Loss: 0.523429
2026-08-21 23:16: Train Epoch 3: 1520/1641 Loss: 0.529952
2026-08-21 23:16: Train Epoch 3: 1540/1641 Loss: 0.505097
2026-08-21 23:16: Train Epoch 3: 1560/1641 Loss: 0.513357
2026-08-21 23:16: Train Epoch 3: 1580/1641 Loss: 0.494197
2026-08-21 23:16: Train Epoch 3: 1600/1641 Loss: 0.534320
2026-08-21 23:16: Train Epoch 3: 1620/1641 Loss: 0.540207
2026-08-21 23:16: Train Epoch 3: 1640/1641 Loss: 0.510939
2026-08-21 23:16: **********Train Epoch 3: averaged Loss: 0.529314, tf_ratio: 1.000000
2026-08-21 23:16: **********Val Epoch 3: average Loss: 0.512432
2026-08-21 23:16: *********************************Current best model saved!
2026-08-21 23:16: Train Epoch 4: 0/1641 Loss: 0.537348
2026-08-21 23:16: Train Epoch 4: 20/1641 Loss: 0.521582
2026-08-21 23:16: Train Epoch 4: 40/1641 Loss: 0.503660
2026-08-21 23:16: Train Epoch 4: 60/1641 Loss: 0.496583
2026-08-21 23:16: Train Epoch 4: 80/1641 Loss: 0.517184
2026-08-21 23:17: Train Epoch 4: 100/1641 Loss: 0.575329
2026-08-21 23:17: Train Epoch 4: 120/1641 Loss: 0.540601
2026-08-21 23:17: Train Epoch 4: 140/1641 Loss: 0.543844
2026-08-21 23:17: Train Epoch 4: 160/1641 Loss: 0.549065
2026-08-21 23:17: Train Epoch 4: 180/1641 Loss: 0.532930
2026-08-21 23:17: Train Epoch 4: 200/1641 Loss: 0.522423
2026-08-21 23:17: Train Epoch 4: 220/1641 Loss: 0.537925
2026-08-21 23:17: Train Epoch 4: 240/1641 Loss: 0.552109
2026-08-21 23:17: Train Epoch 4: 260/1641 Loss: 0.529320
2026-08-21 23:17: Train Epoch 4: 280/1641 Loss: 0.509098
2026-08-21 23:17: Train Epoch 4: 300/1641 Loss: 0.507807
2026-08-21 23:17: Train Epoch 4: 320/1641 Loss: 0.514434
2026-08-21 23:17: Train Epoch 4: 340/1641 Loss: 0.551268
2026-08-21 23:17: Train Epoch 4: 360/1641 Loss: 0.547634
2026-08-21 23:17: Train Epoch 4: 380/1641 Loss: 0.539972
2026-08-21 23:17: Train Epoch 4: 400/1641 Loss: 0.525682
2026-08-21 23:17: Train Epoch 4: 420/1641 Loss: 0.531256
2026-08-21 23:17: Train Epoch 4: 440/1641 Loss: 0.545688
2026-08-21 23:17: Train Epoch 4: 460/1641 Loss: 0.550987
2026-08-21 23:17: Train Epoch 4: 480/1641 Loss: 0.542138
2026-08-21 23:17: Train Epoch 4: 500/1641 Loss: 0.532786
2026-08-21 23:18: Train Epoch 4: 520/1641 Loss: 0.544867
2026-08-21 23:18: Train Epoch 4: 540/1641 Loss: 0.530589
2026-08-21 23:18: Train Epoch 4: 560/1641 Loss: 0.509843
2026-08-21 23:18: Train Epoch 4: 580/1641 Loss: 0.568627
2026-08-21 23:18: Train Epoch 4: 600/1641 Loss: 0.527770
2026-08-21 23:18: Train Epoch 4: 620/1641 Loss: 0.506824
2026-08-21 23:18: Train Epoch 4: 640/1641 Loss: 0.486474
2026-08-21 23:18: Train Epoch 4: 660/1641 Loss: 0.554589
2026-08-21 23:18: Train Epoch 4: 680/1641 Loss: 0.513566
2026-08-21 23:18: Train Epoch 4: 700/1641 Loss: 0.540341
2026-08-21 23:18: Train Epoch 4: 720/1641 Loss: 0.530079
2026-08-21 23:18: Train Epoch 4: 740/1641 Loss: 0.553127
2026-08-21 23:18: Train Epoch 4: 760/1641 Loss: 0.525314
2026-08-21 23:18: Train Epoch 4: 780/1641 Loss: 0.512937
2026-08-21 23:18: Train Epoch 4: 800/1641 Loss: 0.497109
2026-08-21 23:18: Train Epoch 4: 820/1641 Loss: 0.501001
2026-08-21 23:18: Train Epoch 4: 840/1641 Loss: 0.538399
2026-08-21 23:18: Train Epoch 4: 860/1641 Loss: 0.526973
2026-08-21 23:18: Train Epoch 4: 880/1641 Loss: 0.533559
2026-08-21 23:18: Train Epoch 4: 900/1641 Loss: 0.570227
2026-08-21 23:18: Train Epoch 4: 920/1641 Loss: 0.538659
2026-08-21 23:18: Train Epoch 4: 940/1641 Loss: 0.532908
2026-08-21 23:19: Train Epoch 4: 960/1641 Loss: 0.553130
2026-08-21 23:19: Train Epoch 4: 980/1641 Loss: 0.499643
2026-08-21 23:19: Train Epoch 4: 1000/1641 Loss: 0.515490
2026-08-21 23:19: Train Epoch 4: 1020/1641 Loss: 0.492954
2026-08-21 23:19: Train Epoch 4: 1040/1641 Loss: 0.514422
2026-08-21 23:19: Train Epoch 4: 1060/1641 Loss: 0.507969
2026-08-21 23:19: Train Epoch 4: 1080/1641 Loss: 0.499541
2026-08-21 23:19: Train Epoch 4: 1100/1641 Loss: 0.519283
2026-08-21 23:19: Train Epoch 4: 1120/1641 Loss: 0.507382
2026-08-21 23:19: Train Epoch 4: 1140/1641 Loss: 0.538017
2026-08-21 23:19: Train Epoch 4: 1160/1641 Loss: 0.489411
2026-08-21 23:19: Train Epoch 4: 1180/1641 Loss: 0.530769
2026-08-21 23:19: Train Epoch 4: 1200/1641 Loss: 0.578763
2026-08-21 23:19: Train Epoch 4: 1220/1641 Loss: 0.555920
2026-08-21 23:19: Train Epoch 4: 1240/1641 Loss: 0.540435
2026-08-21 23:19: Train Epoch 4: 1260/1641 Loss: 0.503686
2026-08-21 23:19: Train Epoch 4: 1280/1641 Loss: 0.513442
2026-08-21 23:19: Train Epoch 4: 1300/1641 Loss: 0.497993
2026-08-21 23:19: Train Epoch 4: 1320/1641 Loss: 0.500297
2026-08-21 23:19: Train Epoch 4: 1340/1641 Loss: 0.540333
2026-08-21 23:19: Train Epoch 4: 1360/1641 Loss: 0.522034
2026-08-21 23:20: Train Epoch 4: 1380/1641 Loss: 0.530340
2026-08-21 23:20: Train Epoch 4: 1400/1641 Loss: 0.485803
2026-08-21 23:20: Train Epoch 4: 1420/1641 Loss: 0.500494
2026-08-21 23:20: Train Epoch 4: 1440/1641 Loss: 0.514756
2026-08-21 23:20: Train Epoch 4: 1460/1641 Loss: 0.509505
2026-08-21 23:20: Train Epoch 4: 1480/1641 Loss: 0.496224
2026-08-21 23:20: Train Epoch 4: 1500/1641 Loss: 0.516268
2026-08-21 23:20: Train Epoch 4: 1520/1641 Loss: 0.538243
2026-08-21 23:20: Train Epoch 4: 1540/1641 Loss: 0.514786
2026-08-21 23:20: Train Epoch 4: 1560/1641 Loss: 0.557065
2026-08-21 23:20: Train Epoch 4: 1580/1641 Loss: 0.512006
2026-08-21 23:20: Train Epoch 4: 1600/1641 Loss: 0.558889
2026-08-21 23:20: Train Epoch 4: 1620/1641 Loss: 0.518684
2026-08-21 23:20: Train Epoch 4: 1640/1641 Loss: 0.479227
2026-08-21 23:20: **********Train Epoch 4: averaged Loss: 0.522271, tf_ratio: 1.000000
2026-08-21 23:20: **********Val Epoch 4: average Loss: 0.509336
2026-08-21 23:20: *********************************Current best model saved!
2026-08-21 23:20: Train Epoch 5: 0/1641 Loss: 0.523772
2026-08-21 23:21: Train Epoch 5: 20/1641 Loss: 0.526594
2026-08-21 23:21: Train Epoch 5: 40/1641 Loss: 0.509556
2026-08-21 23:21: Train Epoch 5: 60/1641 Loss: 0.509134
2026-08-21 23:21: Train Epoch 5: 80/1641 Loss: 0.513000
2026-08-21 23:21: Train Epoch 5: 100/1641 Loss: 0.528624
2026-08-21 23:21: Train Epoch 5: 120/1641 Loss: 0.493433
2026-08-21 23:21: Train Epoch 5: 140/1641 Loss: 0.508320
2026-08-21 23:21: Train Epoch 5: 160/1641 Loss: 0.518695
2026-08-21 23:21: Train Epoch 5: 180/1641 Loss: 0.549172
2026-08-21 23:21: Train Epoch 5: 200/1641 Loss: 0.498603
2026-08-21 23:21: Train Epoch 5: 220/1641 Loss: 0.590390
2026-08-21 23:21: Train Epoch 5: 240/1641 Loss: 0.541819
2026-08-21 23:21: Train Epoch 5: 260/1641 Loss: 0.537425
2026-08-21 23:21: Train Epoch 5: 280/1641 Loss: 0.552348
2026-08-21 23:21: Train Epoch 5: 300/1641 Loss: 0.536568
2026-08-21 23:21: Train Epoch 5: 320/1641 Loss: 0.553662
2026-08-21 23:21: Train Epoch 5: 340/1641 Loss: 0.577152
2026-08-21 23:21: Train Epoch 5: 360/1641 Loss: 0.521620
2026-08-21 23:21: Train Epoch 5: 380/1641 Loss: 0.530029
2026-08-21 23:21: Train Epoch 5: 400/1641 Loss: 0.534799
2026-08-21 23:21: Train Epoch 5: 420/1641 Loss: 0.499701
2026-08-21 23:22: Train Epoch 5: 440/1641 Loss: 0.493028
2026-08-21 23:22: Train Epoch 5: 460/1641 Loss: 0.534615
2026-08-21 23:22: Train Epoch 5: 480/1641 Loss: 0.506971
2026-08-21 23:22: Train Epoch 5: 500/1641 Loss: 0.524587
