=================================================================
Running Run.py | Seed: 1
=================================================================
/scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/lib/dataloader.py:80: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  X, Y = TensorFloat(X), TensorFloat(Y)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/chkkar002/.netrc.
wandb: Currently logged in as: chkkar002 (chkkar002-university-of-cape-town) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run 3zdc6sze
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/wandb/run-20260820_051256-3zdc6sze
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run AGCRN_realval
wandb: ⭐️ View project at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather
wandb: 🚀 View run at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather/runs/3zdc6sze
2026-08-20 05:12: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260820051255
2026-08-20 05:23: Train Epoch 3: 1080/1641 Loss: 0.431274
2026-08-20 05:23: Train Epoch 3: 1100/1641 Loss: 0.419527
2026-08-20 05:23: Train Epoch 3: 1120/1641 Loss: 0.437266
2026-08-20 05:23: Train Epoch 3: 1140/1641 Loss: 0.435681
2026-08-20 05:23: Train Epoch 3: 1160/1641 Loss: 0.450738
2026-08-20 05:23: Train Epoch 3: 1180/1641 Loss: 0.423436
2026-08-20 05:23: Train Epoch 3: 1200/1641 Loss: 0.416097
2026-08-20 05:23: Train Epoch 3: 1220/1641 Loss: 0.387574
2026-08-20 05:23: Train Epoch 3: 1240/1641 Loss: 0.413213
2026-08-20 05:23: Train Epoch 3: 1260/1641 Loss: 0.412822
2026-08-20 05:24: Train Epoch 3: 1280/1641 Loss: 0.413580
2026-08-20 05:24: Train Epoch 3: 1300/1641 Loss: 0.464502
2026-08-20 05:24: Train Epoch 3: 1320/1641 Loss: 0.436415
2026-08-20 05:24: Train Epoch 3: 1340/1641 Loss: 0.418553
2026-08-20 05:24: Train Epoch 3: 1360/1641 Loss: 0.389652
2026-08-20 05:24: Train Epoch 3: 1380/1641 Loss: 0.453918
2026-08-20 05:24: Train Epoch 3: 1400/1641 Loss: 0.449509
2026-08-20 05:24: Train Epoch 3: 1420/1641 Loss: 0.410780
2026-08-20 05:24: Train Epoch 3: 1440/1641 Loss: 0.385870
2026-08-20 05:24: Train Epoch 3: 1460/1641 Loss: 0.426513
2026-08-20 05:24: Train Epoch 3: 1480/1641 Loss: 0.412354
2026-08-20 05:24: Train Epoch 3: 1500/1641 Loss: 0.429071
2026-08-20 05:24: Train Epoch 3: 1520/1641 Loss: 0.384377
2026-08-20 05:24: Train Epoch 3: 1540/1641 Loss: 0.459631
2026-08-20 05:24: Train Epoch 3: 1560/1641 Loss: 0.430744
2026-08-20 05:24: Train Epoch 3: 1580/1641 Loss: 0.462487
2026-08-20 05:24: Train Epoch 3: 1600/1641 Loss: 0.397594
2026-08-20 05:24: Train Epoch 3: 1620/1641 Loss: 0.430947
2026-08-20 05:24: Train Epoch 3: 1640/1641 Loss: 0.419989
2026-08-20 05:24: **********Train Epoch 3: averaged Loss: 0.430077, tf_ratio: 1.000000
2026-08-20 05:25: **********Val Epoch 3: average Loss: 0.409272
2026-08-20 05:25: *********************************Current best model saved!
2026-08-20 05:25: Train Epoch 4: 0/1641 Loss: 0.418520
2026-08-20 05:25: Train Epoch 4: 20/1641 Loss: 0.416379
2026-08-20 05:25: Train Epoch 4: 40/1641 Loss: 0.395400
2026-08-20 05:25: Train Epoch 4: 60/1641 Loss: 0.382798
2026-08-20 05:25: Train Epoch 4: 80/1641 Loss: 0.419268
2026-08-20 05:25: Train Epoch 4: 100/1641 Loss: 0.453016
2026-08-20 05:25: Train Epoch 4: 120/1641 Loss: 0.429308
2026-08-20 05:25: Train Epoch 4: 140/1641 Loss: 0.438674
2026-08-20 05:25: Train Epoch 4: 160/1641 Loss: 0.403827
2026-08-20 05:25: Train Epoch 4: 180/1641 Loss: 0.389104
2026-08-20 05:25: Train Epoch 4: 200/1641 Loss: 0.455441
2026-08-20 05:25: Train Epoch 4: 220/1641 Loss: 0.428421
2026-08-20 05:25: Train Epoch 4: 240/1641 Loss: 0.409282
2026-08-20 05:25: Train Epoch 4: 260/1641 Loss: 0.418835
2026-08-20 05:25: Train Epoch 4: 280/1641 Loss: 0.436141
2026-08-20 05:25: Train Epoch 4: 300/1641 Loss: 0.431805
2026-08-20 05:25: Train Epoch 4: 320/1641 Loss: 0.423436
2026-08-20 05:25: Train Epoch 4: 340/1641 Loss: 0.407776
2026-08-20 05:25: Train Epoch 4: 360/1641 Loss: 0.434328
2026-08-20 05:26: Train Epoch 4: 380/1641 Loss: 0.454654
2026-08-20 05:26: Train Epoch 4: 400/1641 Loss: 0.431227
2026-08-20 05:26: Train Epoch 4: 420/1641 Loss: 0.416239
2026-08-20 05:26: Train Epoch 4: 440/1641 Loss: 0.417682
2026-08-20 05:26: Train Epoch 4: 460/1641 Loss: 0.398946
2026-08-20 05:26: Train Epoch 4: 480/1641 Loss: 0.472454
2026-08-20 05:26: Train Epoch 4: 500/1641 Loss: 0.418884
2026-08-20 05:26: Train Epoch 4: 520/1641 Loss: 0.427868
2026-08-20 05:26: Train Epoch 4: 540/1641 Loss: 0.424217
2026-08-20 05:26: Train Epoch 4: 560/1641 Loss: 0.415740
2026-08-20 05:26: Train Epoch 4: 580/1641 Loss: 0.385368
2026-08-20 05:26: Train Epoch 4: 600/1641 Loss: 0.419582
2026-08-20 05:26: Train Epoch 4: 620/1641 Loss: 0.416956
2026-08-20 05:26: Train Epoch 4: 640/1641 Loss: 0.442853
2026-08-20 05:26: Train Epoch 4: 660/1641 Loss: 0.417080
2026-08-20 05:26: Train Epoch 4: 680/1641 Loss: 0.443007
2026-08-20 05:26: Train Epoch 4: 700/1641 Loss: 0.458339
2026-08-20 05:26: Train Epoch 4: 720/1641 Loss: 0.433506
2026-08-20 05:26: Train Epoch 4: 740/1641 Loss: 0.408162
2026-08-20 05:26: Train Epoch 4: 760/1641 Loss: 0.436197
